num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,H,N,C,C,8000,Q27,0.5,1,Question 5,H,N,C,C,8000
Result 1,H,N,-,-,44539,R27,,,Result 5,H,N,C,C,8518
Question 2,C,H,N,H,8000,Q23,0.5,0.5,Question 28,C,H,N,H,8000
Result 2,O,H,-,H,24880,R23,,,Result 28,H,H,O,H,14160
Question 3,N,-,N,N,8000,Q7,0.25,0.75,Question 16,N,-,N,N,8000
Result 3,O,-,-,O,13966,R7,,,Result 16,-,-,N,N,10058
Question 4,H,N,C,C,4000,Q26,0.5,0.75,Question 10,H,N,C,C,4000
Result 4,H,N,-,H,9154,R26,,,Result 10,H,N,C,-,8919
Question 5,C,H,O,H,8000,Q25,0.5,0.5,Question 1,C,H,O,H,8000
Result 5,N,H,-,H,18761,R25,,,Result 1,-,H,O,C,16801
Question 6,C,-,C,O,8000,Q5,0.5,1,Question 14,C,-,C,O,8000
Result 6,H,-,H,O,10640,R5,,,Result 14,C,-,C,O,9441
Question 7,C,-,N,O,4000,Q8,0.5,1,Question 21,C,-,N,O,4000
Result 7,H,-,N,-,7560,R8,,,Result 21,C,-,N,O,8081
Question 8,H,C,H,C,8000,Q17,0.75,1,Question 22,H,C,H,C,8000
Result 8,H,H,H,C,12440,R17,,,Result 22,H,C,H,C,11599
Question 9,H,C,C,C,4000,Q12,0.75,0.75,Question 3,H,C,C,C,4000
Result 9,H,-,C,C,10200,R12,,,Result 3,H,C,C,N,16682
Question 10,N,-,N,N,4000,Q6,1,1,Question 13,N,-,N,N,4000
Result 10,N,-,N,N,10879,R6,,,Result 13,N,-,N,N,8120
Question 11,C,H,N,H,4000,Q22,0.75,0.75,Question 9,C,H,N,H,4000
Result 11,H,H,N,H,13721,R22,,,Result 9,-,H,N,H,6560
Question 12,H,C,C,C,8000,Q13,0.75,1,Question 26,H,C,C,C,8000
Result 12,H,C,C,H,12400,R13,,,Result 26,H,C,C,C,10440
Question 13,C,-,C,N,8000,Q3,0.5,1,Question 2,C,-,C,N,8000
Result 13,H,-,H,N,15440,R3,,,Result 2,C,-,C,N,10359
Question 14,H,C,H,C,4000,Q16,0.5,0.75,Question 11,H,C,H,C,4000
Result 14,H,H,H,N,13587,R16,,,Result 11,C,C,H,C,13161
Question 15,C,H,-,N,8000,Q19,0.5,0.75,Question 6,C,H,-,N,8000
Result 15,H,H,-,C,12777,R19,,,Result 6,C,H,-,O,9361
Question 16,O,C,-,O,8000,Q11,1,1,Question 15,O,C,-,O,8000
Result 16,O,C,-,O,13319,R11,,,Result 15,O,C,-,O,9040
Question 17,O,C,-,O,4000,Q10,0.75,0.75,Question 7,O,C,-,O,4000
Result 17,-,C,-,O,11082,R10,,,Result 7,-,C,-,O,15760
Question 18,C,C,C,C,8000,Q1,0,1,Question 23,C,C,C,C,8000
Result 18,H,H,H,H,10520,R1,,,Result 23,C,C,C,C,10082
Question 19,C,H,O,H,4000,Q24,0,0.5,Question 4,C,H,O,H,4000
Result 19,H,C,H,-,9599,R24,,,Result 4,-,H,C,H,7680
Question 20,C,H,-,N,4000,Q18,0.5,1,Question 18,C,H,-,N,4000
Result 20,-,C,-,N,7000,R18,,,Result 18,C,H,-,N,5639
Question 21,C,H,H,H,8000,Q21,1,1,Question 25,C,H,H,H,8000
Result 21,C,H,H,H,8601,R21,,,Result 25,C,H,H,H,9161
Question 22,C,-,C,N,4000,Q2,0.25,0.5,Question 8,C,-,C,N,4000
Result 22,H,-,H,C,9720,R2,,,Result 8,-,-,H,N,12402
Question 23,C,-,N,O,8000,Q9,0.75,1,Question 17,C,-,N,O,8000
Result 23,H,-,N,O,9639,R9,,,Result 17,C,-,N,O,8521
Question 24,H,C,C,O,8000,Q15,1,0.5,Question 19,H,C,C,O,8000
Result 24,H,C,C,O,11282,R15,,,Result 19,H,C,H,O,10161
Question 25,C,C,C,C,4000,Q0,1,0.5,Question 24,C,C,C,C,4000
Result 25,C,C,C,C,7480,R0,,,Result 24,-,-,C,C,10319
Question 26,C,-,C,O,4000,Q4,0.75,0.75,Question 12,C,-,C,O,4000
Result 26,C,-,C,N,8520,R4,,,Result 12,C,-,N,O,12440
Question 27,C,H,H,H,4000,Q20,0.75,0.75,Question 27,C,H,H,H,4000
Result 27,C,H,H,-,6359,R20,,,Result 27,C,H,H,C,6719
Question 28,H,C,C,O,4000,Q14,0.5,0.5,Question 20,H,C,C,O,4000
Result 28,-,C,H,O,12680,R14,,,Result 20,H,H,H,O,6920
,,,,,,,,,,,,,,
,,,,,,,17,22.25,,,,,,
