num_pre,T1,L1,B1,R1,time_pre,file_order,num_post,T2,L2,B2,R2,time_post
Question 1,C,H,-,N,8000,Q19,Question 27,C,H,-,N,8000
Result 1,N,-,-,O,24097,R19,Result 27,C,H,C,C,11481
Question 2,C,C,C,C,4000,Q0,Question 14,C,C,C,C,4000
Result 2,H,H,-,H,23681,R0,Result 14,C,-,C,C,10962
Question 3,C,-,C,N,4000,Q2,Question 9,C,-,C,N,4000
Result 3,-,-,C,O,20241,R2,Result 9,C,-,C,C,9002
Question 4,O,C,-,O,4000,Q10,Question 16,O,C,-,O,4000
Result 4,-,N,-,O,13840,R10,Result 16,-,N,-,O,10680
Question 5,H,C,C,O,4000,Q14,Question 23,H,C,C,O,4000
Result 5,C,H,-,O,16520,R14,Result 23,C,-,C,O,10919
Question 6,C,-,C,N,8000,Q3,Question 26,C,-,C,N,8000
Result 6,C,-,C,H,13159,R3,Result 26,N,-,N,C,8000
Question 7,H,N,C,C,4000,Q26,Question 3,H,N,C,C,4000
Result 7,N,H,N,N,15681,R26,Result 3,C,N,C,-,12920
Question 8,N,-,N,N,8000,Q7,Question 8,N,-,N,N,8000
Result 8,H,H,N,H,12201,R7,Result 8,C,C,C,C,14559
Question 9,C,-,N,O,4000,Q8,Question 1,C,-,N,O,4000
Result 9,C,H,O,O,12159,R8,Result 1,H,-,C,-,10826
Question 10,C,H,-,N,4000,Q18,Question 18,C,H,-,N,4000
Result 10,C,H,-,N,10560,R18,Result 18,N,H,-,C,8681
Question 11,H,C,C,C,4000,Q12,Question 22,H,C,C,C,4000
Result 11,C,H,H,H,8161,R12,Result 22,H,C,C,-,10361
Question 12,C,H,H,H,4000,Q20,Question 6,C,H,H,H,4000
Result 12,H,H,H,H,9119,R20,Result 6,C,H,H,H,11202
Question 13,C,H,O,H,4000,Q24,Question 12,C,H,O,H,4000
Result 13,C,H,-,H,8000,R24,Result 12,H,H,H,H,13801
Question 14,H,C,C,C,8000,Q13,Question 13,H,C,C,C,8000
Result 14,H,C,-,C,11599,R13,Result 13,H,-,C,C,13400
Question 15,N,-,N,N,4000,Q6,Question 7,N,-,N,N,4000
Result 15,-,C,C,-,16001,R6,Result 7,N,N,N,N,12320
Question 16,C,H,N,H,4000,Q22,Question 15,C,H,N,H,4000
Result 16,-,H,-,-,10081,R22,Result 15,-,H,C,H,10999
Question 17,H,C,H,C,4000,Q16,Question 19,H,C,H,C,4000
Result 17,H,H,H,H,5959,R16,Result 19,H,H,H,-,9200
Question 18,C,H,H,H,8000,Q21,Question 2,C,H,H,H,8000
Result 18,C,H,-,H,13641,R21,Result 2,C,H,H,H,12035
Question 19,C,H,N,H,8000,Q23,Question 17,C,H,N,H,8000
Result 19,C,H,-,H,18160,R23,Result 17,C,H,N,H,11160
Question 20,O,C,-,O,8000,Q11,Question 4,O,C,-,O,8000
Result 20,O,H,-,O,10320,R11,Result 4,O,C,-,O,15006
Question 21,C,H,O,H,8000,Q25,Question 5,C,H,O,H,8000
Result 21,C,H,-,H,12800,R25,Result 5,C,H,O,H,13074
Question 22,H,C,C,O,8000,Q15,Question 20,H,C,C,O,8000
Result 22,C,H,-,N,11041,R15,Result 20,H,C,C,O,10320
Question 23,C,-,N,O,8000,Q9,Question 11,C,-,N,O,8000
Result 23,-,-,-,O,34080,R9,Result 11,C,-,N,O,11600
Question 24,C,C,C,C,8000,Q1,Question 24,C,C,C,C,8000
Result 24,H,H,H,H,12121,R1,Result 24,C,C,C,C,11841
Question 25,C,-,C,O,8000,Q5,Question 25,C,-,C,O,8000
Result 25,H,-,H,O,13600,R5,Result 25,C,-,C,O,8119
Question 26,H,N,C,C,8000,Q27,Question 28,H,N,C,C,8000
Result 26,C,H,H,N,13080,R27,Result 28,H,C,C,C,14240
Question 27,H,C,H,C,8000,Q17,Question 21,H,C,H,C,8000
Result 27,H,H,H,C,20241,R17,Result 21,H,C,H,C,12040
Question 28,C,-,C,O,4000,Q4,Question 10,C,-,C,O,4000
Result 28,H,-,H,N,10239,R4,Result 10,C,-,C,O,10198
