question,time,avg,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Q0,4000,0.555555556,1,1,0.75,1,1,0.75,1,0.75,0,0,0,0.25,1,0.75,0.75,1,1,0,0.5,1,0,0.75,0,0.75,0,0,0
Q1,8000,0.518518519,1,1,1,1,0,0.5,0,1,0,0,0,0.25,1,0.75,1,0,0,0,1,1,1,0.25,0.5,0.75,1,0,0
Q2,4000,0.537037037,0.5,1,0.25,1,0.25,0.5,0.25,1,0.75,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,1,1,0.5,0.25,0.75,0.5,0.5
Q3,8000,0.555555556,0.5,0.75,1,1,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.75,1,0.5,0.25,1,0.75,0.75,0.25,0.25,1,0.25,0.75,0.75,0.5,0
Q4,4000,0.592592593,1,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.25,1,0.5,0.75,0.5,0.5
Q5,8000,0.62962963,1,0.5,0.5,1,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.75,1,0.75,0.5,1,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5
Q6,4000,0.564814815,0.25,1,0.25,1,1,0.25,0.75,1,1,0.25,0.25,0.5,1,0.75,0,1,0,0,0.5,0.75,1,0.25,0.25,0.25,0.75,0.5,0.75
Q7,8000,0.537037037,0.25,0.25,0.25,1,0.25,1,0.75,0.5,0.75,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,1,1,1,1,0.5,0.25,0.25,0.5,1
Q8,4000,0.527777778,0.5,0.5,0.5,1,0.5,0.5,0.25,0.75,0.75,0.5,0.5,0,0.75,1,0.75,0.5,0,0.5,0.75,0.75,0.25,0.25,0.5,0.25,0.75,0.5,0.5
Q9,8000,0.62037037,0.5,0.75,1,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.75,0.25,1,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.75,0.5,0.5,0.5,1,0.75,0.5
Q10,4000,0.527777778,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.25,0.5,0.5,0.25,0.25,0.75,0.5,0.5,0.25,1,0.5,0
Q11,8000,0.768518519,1,1,1,1,1,0.5,0.5,0.5,0.5,1,0.75,0.5,1,0.75,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.5,1,0.75,0.25
Q12,4000,0.527777778,1,1,0.25,0.5,0.75,0.25,0.25,0.75,0.5,0.5,0.5,0,0.75,0.75,0.25,0.25,0.75,0,0.25,1,1,1,0.75,0,0.75,0.5,0
Q13,8000,0.564814815,0.75,0.5,0.25,1,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.5,0.75,0.25,0.75,0.5,1,0.75,0,0.75,0.75,1,0.75,1,1,0,0.25
Q14,4000,0.518518519,1,0.5,0.25,1,0.5,0.5,0.5,0.5,1,0.5,0.25,0.25,0.25,0.75,0.25,1,0.5,0.25,0.75,0.25,0.75,0.5,0.25,0.25,0.75,0.5,0.25
Q15,8000,0.601851852,1,0.75,0.5,1,1,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.75,0.5,0.25,0,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5
Q16,4000,0.62037037,1,1,0.5,1,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.5,0.5,1,1,1,0.75,0.25,0.75,1,0.75,0
Q17,8000,0.611111111,1,1,1,1,0.75,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.25,0,0.25,0.25,0.75,0.75,0.5,1,1,0.75,0,0.75,1,0.75,0
Q18,4000,0.675925926,0.5,0.75,0.75,1,0.5,0.75,0.75,0.75,1,0.25,0.75,0.5,0.75,1,0.75,0.5,0.25,1,0.25,1,0.75,0.5,0.25,1,0.75,0.75,0.5
Q19,8000,0.638888889,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1,0.75,0.75,1,0.25,1,1,0.75,0.25,0.25,0.25,1,1,1,0.5,0,0.5,0.75,1,0.5
Q20,4000,0.703703704,0.75,1,1,1,0.75,0.75,0.75,0.5,1,0.75,0.75,0.25,0.5,0,0.5,1,0.75,0.75,0.5,1,1,1,0.25,0.75,0.75,0.75,0.25
Q21,8000,0.722222222,1,1,0.75,0.75,1,1,0.75,0.5,0.75,0.75,0.75,0.75,1,0.75,0,0.75,0,0.75,0.75,1,1,1,0,1,1,0.75,0
Q22,4000,0.518518519,0.5,0.75,0.5,0.75,0.75,0.5,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0,0.75,0,0.25,0.25,0.5,1,0.5,0,0.75,1,0.5,0
Q23,8000,0.564814815,0.25,0.5,0.25,1,0.5,0.5,0.75,0.25,0.5,0,0.5,0.75,0.5,0.5,0.25,0.5,1,0.75,0.5,0.75,1,0.5,0,1,1,0.75,0.5
