q,r,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
H,H,25,25,18,24,23,25,16,21,24,25,23,20,24,25,25,25,26,24,21,26,26,26,25,26,25,20,13
H,C,0,1,6,1,3,1,10,4,2,0,2,5,1,0,1,1,0,2,1,0,0,0,0,0,1,3,8
H,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,5
H,O,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,-,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
C,H,1,0,10,1,5,5,7,2,0,4,1,1,0,1,17,4,1,3,0,5,2,0,4,1,0,7,5
C,C,41,33,32,43,32,19,24,32,36,36,30,26,43,44,26,35,31,32,33,34,41,34,26,33,30,32,23
C,N,1,9,2,2,2,15,10,8,10,4,13,16,1,0,2,4,13,4,9,6,2,9,15,11,15,4,12
C,O,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,3,1,0,0,0,4
C,-,1,1,2,0,7,7,5,4,0,2,2,2,2,1,1,3,1,7,0,1,0,0,0,1,1,3,2
N,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
N,C,6,2,5,1,0,4,3,3,3,0,3,5,0,0,1,1,8,10,4,0,0,0,0,1,1,4,4
N,N,4,7,9,15,13,11,10,7,12,16,12,6,16,16,10,2,7,6,8,13,14,8,4,6,5,12,8
N,O,5,6,1,0,2,0,3,5,0,0,1,4,0,0,5,13,1,0,5,3,2,7,12,9,10,0,1
N,-,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
O,H,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
O,C,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
O,N,1,1,2,0,0,2,2,3,2,3,2,1,0,0,2,0,2,0,0,0,2,1,2,0,0,4,2
O,O,9,10,8,10,10,8,9,8,10,7,8,10,10,11,10,11,9,9,10,10,9,9,9,11,11,6,10
O,-,1,0,0,1,1,1,1,1,0,2,1,0,1,1,0,0,0,2,1,1,1,1,0,0,0,1,0
-,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,C,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0
-,N,0,0,1,0,0,0,0,1,0,0,0,3,1,2,0,0,1,1,1,0,0,1,0,1,0,0,0
-,O,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,2
-,-,12,12,10,9,12,12,9,9,12,12,12,9,11,10,12,10,7,9,11,12,11,10,12,9,12,12,10
