participant,pos,type,H,C,N,O,-
1,T,pre,0.875,0.5625,0,0.5,-
1,L,pre,0.875,0.9,0,-,0.875
1,B,pre,1,0.9166667,0,0,1
1,R,pre,1,1,0,0.75,-
1,T,post,0.875,0.75,0.5,0.5,-
1,L,post,1,0.9,0,-,1
1,B,post,1,1,0.16666667,0,1
1,R,post,1,1,0.33333334,1,-
2,T,pre,0.875,0.5,0.5,0.5,-
2,L,pre,1,0.8,0,-,1
2,B,pre,1,0.5833333,0.33333334,0,1
2,R,pre,1,0.875,0.33333334,1,-
2,T,post,0.875,0.4375,0.5,1,-
2,L,post,1,0.9,0.5,-,1
2,B,post,1,0.8333333,0.5,0.5,1
2,R,post,1,0.875,0.33333334,0.875,-
3,T,pre,0.875,0.375,0,0.5,-
3,L,pre,0.75,0.5,1,-,1
3,B,pre,1,0.33333334,0.16666667,0,1
3,R,pre,0.5,0.375,0.33333334,1,-
3,T,post,0.75,0.625,0.5,1,-
3,L,post,0.75,0.6,1,-,1
3,B,post,0.75,1,0.5,0.5,0.5
3,R,post,0.5,0.5,0.5,0.625,-
4,T,pre,0.875,0.8125,1,0.5,-
4,L,pre,0.875,0.9,1,-,1
4,B,pre,1,0.8333333,0.8333333,0.5,0.75
4,R,pre,0.6666667,0.625,1,0.875,-
4,T,post,0.875,0.875,1,0.5,-
4,L,post,1,1,1,-,1
4,B,post,1,0.9166667,1,0.5,0.25
4,R,post,0.8333333,1,0.8333333,1,-
5,T,pre,0.875,0.25,0.5,0.5,-
5,L,pre,0.75,0.6,1,-,1
5,B,pre,1,0.41666666,0.6666667,0,1
5,R,pre,0.6666667,0.375,0.5,0.75,-
5,T,post,0.875,0.625,0.5,0.5,-
5,L,post,1,0.8,1,-,1
5,B,post,1,0.6666667,0.8333333,0.5,1
5,R,post,0.6666667,0.75,0.8333333,1,-
6,T,pre,0.875,0.3125,1,0,-
6,L,pre,1,0.4,0.5,-,0.75
6,B,pre,1,0.16666667,0.16666667,0.5,1
6,R,pre,1,0.25,0.5,0.75,-
6,T,post,0.875,0.375,0.5,0.5,-
