question,time,position,element,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Q0,4000,T0,C,0.25,0.25,-,0.25,-,N,0.25,-,N,H,0.25,N,0.25,0.25,0.25,-,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25
Q0,4000,L0,C,0.25,0.25,0.25,0.25,-,N,H,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,H,0.25,N,0.25,0.25
Q0,4000,B0,C,0.25,0.25,0.25,0.25,0.25,N,H,-,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25
Q0,4000,R0,C,0.25,0.25,0.25,0.25,0.25,N,H,0.25,N,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,N,0.25,0.25
Q1,8000,T1,C,0.25,0.25,0.25,0.25,0.25,N,-,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,N,H,0.25
Q1,8000,L1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q1,8000,B1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q1,8000,R1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q2,4000,T2,C,0.25,0.25,0.25,0.25,-,-,0.25,H,0.25,N,N,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,-
Q2,4000,B2,C,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,-,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,-,0.25
